Geographic Area Name,industry,median_income,Gender
Arizona,Wholesale trade,52142,All
Arkansas,Wholesale trade,53328,All
California,Wholesale trade,56652,All
Colorado,Wholesale trade,64803,All
Connecticut,Wholesale trade,70982,All
Delaware,Wholesale trade,60779,All
District of Columbia,Wholesale trade,71841,All
Florida,Wholesale trade,54380,All
Georgia,Wholesale trade,59635,All
Hawaii,Wholesale trade,55395,All
Idaho,Wholesale trade,50617,All
Illinois,Wholesale trade,62037,All
Indiana,Wholesale trade,57178,All
Iowa,Wholesale trade,54084,All
Kansas,Wholesale trade,51873,All
Kentucky,Wholesale trade,55808,All
Louisiana,Wholesale trade,48542,All
Maine,Wholesale trade,55382,All
Maryland,Wholesale trade,56727,All
Massachusetts,Wholesale trade,66129,All
Michigan,Wholesale trade,60852,All
Minnesota,Wholesale trade,62272,All
Mississippi,Wholesale trade,48778,All
Missouri,Wholesale trade,57449,All
Montana,Wholesale trade,53718,All
Nebraska,Wholesale trade,56303,All
Nevada,Wholesale trade,54663,All
New Hampshire,Wholesale trade,66330,All
New Jersey,Wholesale trade,63642,All
New Mexico,Wholesale trade,46024,All
New York,Wholesale trade,62847,All
North Carolina,Wholesale trade,54954,All
North Dakota,Wholesale trade,65175,All
Ohio,Wholesale trade,56006,All
Oklahoma,Wholesale trade,52803,All
Oregon,Wholesale trade,59748,All
Pennsylvania,Wholesale trade,54436,All
Rhode Island,Wholesale trade,57962,All
South Carolina,Wholesale trade,51602,All
South Dakota,Wholesale trade,52983,All
Tennessee,Wholesale trade,56210,All
Texas,Wholesale trade,57018,All
Utah,Wholesale trade,56988,All
Vermont,Wholesale trade,57212,All
Virginia,Wholesale trade,54534,All
Washington,Wholesale trade,59015,All
West Virginia,Wholesale trade,60574,All
Wisconsin,Wholesale trade,57755,All
Wyoming,Wholesale trade,58933,All
Puerto Rico,Wholesale trade,26728,All
Alabama,Retail trade,32216,All
Alaska,Retail trade,40386,All
Arizona,Retail trade,39348,All
Arkansas,Retail trade,37290,All
California,Retail trade,42124,All
Colorado,Retail trade,41477,All
Connecticut,Retail trade,42997,All
Delaware,Retail trade,40407,All
District of Columbia,Retail trade,40887,All
Florida,Retail trade,36711,All
Georgia,Retail trade,36995,All
Hawaii,Retail trade,39246,All
Idaho,Retail trade,36901,All
Illinois,Retail trade,41097,All
Indiana,Retail trade,36883,All
Iowa,Retail trade,41138,All
Kansas,Retail trade,37968,All
Kentucky,Retail trade,34869,All
Louisiana,Retail trade,34246,All
Maine,Retail trade,41497,All
