Month,Boro,Community District,BC_SNAP_Recipients,BC_SNAP_Households
12/1/21,Bronx,B02,22313,12601
12/1/21,Bronx,B03,42991,24243
12/1/21,Bronx,B04,56534,32465
12/1/21,Bronx,B05,54623,31076
12/1/21,Bronx,B06,40094,22138
12/1/21,Bronx,B07,47712,27852
12/1/21,Bronx,B08,18324,11148
12/1/21,Bronx,B09,56309,31526
12/1/21,Bronx,B10,20547,12541
12/1/21,Bronx,B11,26169,15450
12/1/21,Bronx,B12,40799,22731
12/1/21,Brooklyn,K01,50412,20873
12/1/21,Brooklyn,K02,14129,9688
12/1/21,Brooklyn,K03,44052,24659
12/1/21,Brooklyn,K04,24139,15543
12/1/21,Brooklyn,K05,64357,37847
12/1/21,Brooklyn,K06,11323,7493
12/1/21,Brooklyn,K07,21617,13483
12/1/21,Brooklyn,K08,19624,13116
12/1/21,Brooklyn,K09,20934,13124
12/1/21,Brooklyn,K10,18421,11157
12/1/21,Brooklyn,K11,36864,22144
12/1/21,Brooklyn,K12,60169,20236
12/1/21,Brooklyn,K13,31716,21227
12/1/21,Brooklyn,K14,30916,18579
12/1/21,Brooklyn,K15,27949,17627
12/1/21,Brooklyn,K16,37639,22048
12/1/21,Brooklyn,K17,31875,20881
12/1/21,Brooklyn,K18,29634,18431
12/1/21,Queens,Q01,24203,14958
12/1/21,Queens,Q02,11571,7402
12/1/21,Queens,Q03,24456,14458
12/1/21,Queens,Q04,26926,15957
12/1/21,Queens,Q05,19639,11825
12/1/21,Queens,Q06,10875,7504
12/1/21,Queens,Q07,29779,19689
12/1/21,Queens,Q08,19254,11604
12/1/21,Queens,Q09,23925,14079
12/1/21,Queens,Q10,17327,10626
12/1/21,Queens,Q11,8129,5366
12/1/21,Queens,Q12,45287,27573
12/1/21,Queens,Q13,21898,14001
12/1/21,Queens,Q14,29613,16367
12/1/21,Staten Island,S01,38647,20860
12/1/21,Staten Island,S02,16085,9416
12/1/21,Staten Island,S03,11566,7256
3/1/22,Manhattan,M01,2042,1580
3/1/22,Manhattan,M02,2998,2431
3/1/22,Manhattan,M03,38547,26400
3/1/22,Manhattan,M04,13219,10119
3/1/22,Manhattan,M05,4538,3681
3/1/22,Manhattan,M06,5457,4554
3/1/22,Manhattan,M07,17892,13195
3/1/22,Manhattan,M08,6525,5052
3/1/22,Manhattan,M09,23346,15459
3/1/22,Manhattan,M10,32042,20955
3/1/22,Manhattan,M11,44589,28101
3/1/22,Manhattan,M12,48689,33547
3/1/22,Bronx,B01,46965,26195
3/1/22,Bronx,B02,23261,13116
3/1/22,Bronx,B03,44549,25041
3/1/22,Bronx,B04,58323,33497
3/1/22,Bronx,B05,56438,32088
3/1/22,Bronx,B06,41318,22819
3/1/22,Bronx,B07,49475,28878
3/1/22,Bronx,B08,19012,11550
3/1/22,Bronx,B09,58194,32513
3/1/22,Bronx,B10,21170,12909
3/1/22,Bronx,B11,27388,16068
3/1/22,Bronx,B12,42168,23527
3/1/22,Brooklyn,K01,52622,21765
3/1/22,Brooklyn,K02,14518,10038
3/1/22,Brooklyn,K03,45983,25747
3/1/22,Brooklyn,K04,24917,16121
3/1/22,Brooklyn,K05,67051,39450
3/1/22,Brooklyn,K06,11498,7633
3/1/22,Brooklyn,K07,22667,14172
3/1/22,Brooklyn,K08,20513,13787
3/1/22,Brooklyn,K09,21999,13828
3/1/22,Brooklyn,K10,19358,11686
3/1/22,Brooklyn,K11,38723,23043
3/1/22,Brooklyn,K12,64109,21322
3/1/22,Brooklyn,K13,32491,21815
3/1/22,Brooklyn,K14,32250,19307
3/1/22,Brooklyn,K15,29282,18318
3/1/22,Brooklyn,K16,38784,22903
3/1/22,Brooklyn,K17,33334,21941
3/1/22,Brooklyn,K18,30942,19239
3/1/22,Queens,Q01,24891,15357
3/1/22,Queens,Q02,12064,7714
3/1/22,Queens,Q03,25351,14949
3/1/22,Queens,Q04,27841,16450
3/1/22,Queens,Q05,20891,12504
3/1/22,Queens,Q06,11385,7736
3/1/22,Queens,Q07,31217,20612
3/1/22,Queens,Q08,20077,12046
3/1/22,Queens,Q09,24925,14579
3/1/22,Queens,Q10,17836,10951
3/1/22,Queens,Q11,8499,5615
3/1/22,Queens,Q12,47481,28736
3/1/22,Queens,Q13,22704,14483
3/1/22,Queens,Q14,30458,16840
3/1/22,Staten Island,S01,39898,21537
3/1/22,Staten Island,S02,16719,9747
3/1/22,Staten Island,S03,12195,7622
6/1/22,Manhattan,M01,1994,1539
6/1/22,Manhattan,M02,2944,2372
6/1/22,Manhattan,M03,38493,26291
6/1/22,Manhattan,M04,13144,10041
6/1/22,Manhattan,M05,4325,3555
6/1/22,Manhattan,M06,5349,4480
6/1/22,Manhattan,M07,17664,13000
6/1/22,Manhattan,M08,6471,4945
6/1/22,Manhattan,M09,23121,15171
6/1/22,Manhattan,M10,31549,20507
6/1/22,Manhattan,M11,44275,27773
6/1/22,Manhattan,M12,48404,33154
6/1/22,Bronx,B01,46470,25841
6/1/22,Bronx,B02,23238,13062
6/1/22,Bronx,B03,44295,24721
6/1/22,Bronx,B04,57712,33075
6/1/22,Bronx,B05,55698,31553
6/1/22,Bronx,B06,40649,22517
6/1/22,Bronx,B07,49183,28601
6/1/22,Bronx,B08,18818,11375
6/1/22,Bronx,B09,57669,32057
6/1/22,Bronx,B10,21125,12782
6/1/22,Bronx,B11,27163,15832
6/1/22,Bronx,B12,41800,23156
6/1/22,Brooklyn,K01,52052,21488
6/1/22,Brooklyn,K02,14335,9820
6/1/22,Brooklyn,K03,45566,25137
6/1/22,Brooklyn,K04,24465,15720
6/1/22,Brooklyn,K05,66269,38764
6/1/22,Brooklyn,K06,11164,7365
6/1/22,Brooklyn,K07,22882,14177
6/1/22,Brooklyn,K08,20153,13454
6/1/22,Brooklyn,K09,21626,13478
6/1/22,Brooklyn,K10,19367,11615
6/1/22,Brooklyn,K11,39133,23139
6/1/22,Brooklyn,K12,64059,21281
6/1/22,Brooklyn,K13,32661,21765
6/1/22,Brooklyn,K14,32535,19281
6/1/22,Brooklyn,K15,29478,18266
6/1/22,Brooklyn,K16,38158,22416
6/1/22,Brooklyn,K17,32973,21509
6/1/22,Brooklyn,K18,30461,18820
6/1/22,Queens,Q01,24825,15215
6/1/22,Queens,Q02,11907,7608
6/1/22,Queens,Q03,25249,14869
6/1/22,Queens,Q04,28104,16543
6/1/22,Queens,Q05,20884,12426
6/1/22,Queens,Q06,11397,7732
6/1/22,Queens,Q07,31905,21028
6/1/22,Queens,Q08,20187,12013
6/1/22,Queens,Q09,24915,14449
6/1/22,Queens,Q10,17918,10892
6/1/22,Queens,Q11,8755,5733
6/1/22,Queens,Q12,47083,28232
6/1/22,Queens,Q13,22294,14176
6/1/22,Queens,Q14,30100,16517
9/1/18,MANHATTAN,M01,2245,1762
9/1/18,MANHATTAN,M02,3170,2481
9/1/18,MANHATTAN,M03,37948,25250
9/1/18,MANHATTAN,M04,11664,8750
9/1/18,MANHATTAN,M05,4236,3255
9/1/18,MANHATTAN,M06,4909,4200
9/1/18,MANHATTAN,M07,16486,12354
9/1/18,MANHATTAN,M08,5626,4447
9/1/18,MANHATTAN,M09,23051,14859
9/1/18,MANHATTAN,M10,34404,21425
9/1/18,MANHATTAN,M11,43308,26502
9/1/18,MANHATTAN,M12,49147,32704
9/1/18,BROOKLYN,K01,52715,20495
9/1/18,BROOKLYN,K02,13791,9070
9/1/18,BROOKLYN,K03,45971,24357
9/1/18,BROOKLYN,K04,26548,15640
9/1/18,BROOKLYN,K05,63518,35199
9/1/18,BROOKLYN,K06,9973,6431
9/1/18,BROOKLYN,K07,23563,13326
9/1/18,BROOKLYN,K08,21624,13495
9/1/18,BROOKLYN,K09,21469,12636
9/1/18,BROOKLYN,K10,17422,9843
9/1/18,BROOKLYN,K11,38010,21758
9/1/18,BROOKLYN,K12,63664,20755
9/1/18,BROOKLYN,K13,33044,21261
9/1/18,BROOKLYN,K14,33345,18925
9/1/18,BROOKLYN,K15,28852,17402
9/1/18,BROOKLYN,K16,36694,20127
9/1/18,BROOKLYN,K17,31305,19133
9/1/18,BROOKLYN,K18,28165,16579
9/1/18,BRONX,B01,45575,23980
9/1/18,BRONX,B02,22974,12277
9/1/18,BRONX,B03,42384,22379
9/1/18,BRONX,B04,59231,32012
9/1/18,BRONX,B05,58005,30913
9/1/18,BRONX,B06,39784,20964
9/1/18,BRONX,B07,48003,26293
9/1/18,BRONX,B08,16716,9851
9/1/18,BRONX,B09,54113,29193
9/1/18,BRONX,B10,17627,10637
9/1/18,BRONX,B11,24271,13877
9/1/18,BRONX,B12,37611,20363
9/1/18,QUEENS,Q01,22894,13500
9/1/18,QUEENS,Q02,10997,6764
9/1/18,QUEENS,Q03,26817,15130
9/1/18,QUEENS,Q04,27631,15677
9/1/18,QUEENS,Q05,19120,10848
9/1/18,QUEENS,Q06,10223,7008
9/1/18,QUEENS,Q07,26410,17168
9/1/18,QUEENS,Q08,17920,10546
9/1/18,QUEENS,Q09,22826,12718
9/1/18,QUEENS,Q10,16276,9519
9/1/18,QUEENS,Q11,6481,4333
9/1/18,QUEENS,Q12,45153,26659
9/1/18,QUEENS,Q13,19413,12250
9/1/18,QUEENS,Q14,29212,15671
9/1/18,STATEN ISLAND,S01,38119,19881
9/1/18,STATEN ISLAND,S02,14114,8325
9/1/18,STATEN ISLAND,S03,9883,6229
12/1/18,BRONX,B01,43641,23307
12/1/18,BRONX,B02,21554,11736
12/1/18,BRONX,B03,40500,21814
12/1/18,BRONX,B04,55973,30618
12/1/18,BRONX,B05,54018,29318
12/1/18,BRONX,B06,38141,20394
12/1/18,BRONX,B07,44791,25235
12/1/18,BRONX,B08,15859,9523
12/1/18,BRONX,B09,51447,28001
12/1/18,BRONX,B10,17421,10544
12/1/18,BRONX,B11,23286,13534
12/1/18,BRONX,B12,36510,19927
12/1/18,BROOKLYN,K01,50611,19968
12/1/18,BROOKLYN,K02,13105,8806
12/1/18,BROOKLYN,K03,43051,23061
12/1/18,BROOKLYN,K04,23790,14371
12/1/18,BROOKLYN,K05,61878,34785
12/1/18,BROOKLYN,K06,9752,6452
12/1/18,BROOKLYN,K07,21169,12330
12/1/18,BROOKLYN,K08,19932,12626
12/1/18,BROOKLYN,K09,20104,12156
12/1/18,BROOKLYN,K10,16550,9611
12/1/18,BROOKLYN,K11,35305,20694
12/1/18,BROOKLYN,K12,59507,19431
12/1/18,BROOKLYN,K13,31486,20837
12/1/18,BROOKLYN,K14,30466,17745
12/1/18,BROOKLYN,K15,27601,17010
12/1/18,BROOKLYN,K16,36343,20081
12/1/18,BROOKLYN,K17,29471,18464
12/1/18,BROOKLYN,K18,27371,16380
12/1/18,MANHATTAN,M01,2091,1680
12/1/18,MANHATTAN,M02,2937,2333
12/1/18,MANHATTAN,M03,36068,24511
12/1/18,MANHATTAN,M04,11529,8671
12/1/18,MANHATTAN,M05,5707,3829
12/1/18,MANHATTAN,M06,4983,4314
12/1/18,MANHATTAN,M07,16080,12068
12/1/18,MANHATTAN,M08,5490,4367
12/1/18,MANHATTAN,M09,21830,14223
12/1/18,MANHATTAN,M10,32765,20732
12/1/18,MANHATTAN,M11,41649,25977
12/1/18,MANHATTAN,M12,45582,30979
12/1/18,QUEENS,Q01,21830,13067
12/1/18,QUEENS,Q02,10534,6621
12/1/18,QUEENS,Q03,23959,13722
12/1/18,QUEENS,Q04,25154,14573
12/1/18,QUEENS,Q05,17539,10258
12/1/18,QUEENS,Q06,9871,6860
12/1/18,QUEENS,Q07,25456,16689
12/1/18,QUEENS,Q08,17087,10305
12/1/18,QUEENS,Q09,21275,12212
12/1/18,QUEENS,Q10,15609,9359
12/1/18,QUEENS,Q11,6319,4312
12/1/18,QUEENS,Q12,42784,25723
12/1/18,QUEENS,Q13,18536,11837
12/1/18,QUEENS,Q14,28537,15315
12/1/18,STATEN ISLAND,S01,36386,19289
12/1/18,STATEN ISLAND,S02,13799,8226
12/1/18,STATEN ISLAND,S03,9771,6233
3/1/19,BRONX,B01,43127,23086
3/1/19,BRONX,B02,21203,11531
3/1/19,BRONX,B03,40628,21829
3/1/19,BRONX,B04,55067,30205
3/1/19,BRONX,B05,53602,29021
3/1/19,BRONX,B06,37803,20308
3/1/19,BRONX,B07,44357,25149
3/1/19,BRONX,B08,15705,9398
3/1/19,BRONX,B09,50759,27846
3/1/19,BRONX,B10,17192,10490
3/1/19,BRONX,B11,23107,13461
3/1/19,BRONX,B12,36142,19757
3/1/19,BROOKLYN,K01,50622,19950
3/1/19,BROOKLYN,K02,13107,8806
3/1/19,BROOKLYN,K03,42916,22991
3/1/19,BROOKLYN,K04,23579,14304
3/1/19,BROOKLYN,K05,61594,34850
3/1/19,BROOKLYN,K06,9712,6488
3/1/19,BROOKLYN,K07,20782,12182
3/1/19,BROOKLYN,K08,19772,12636
3/1/19,BROOKLYN,K09,19898,12076
3/1/19,BROOKLYN,K10,16441,9635
3/1/19,BROOKLYN,K11,34870,20563
3/1/19,BROOKLYN,K12,59370,19344
3/1/19,BROOKLYN,K13,31388,20782
3/1/19,BROOKLYN,K14,29935,17531
3/1/19,BROOKLYN,K15,27338,16964
3/1/19,BROOKLYN,K16,36292,20171
3/1/19,BROOKLYN,K17,29409,18576
3/1/19,BROOKLYN,K18,27326,16368
3/1/19,MANHATTAN,M01,2178,1749
3/1/19,MANHATTAN,M02,2853,2306
3/1/19,MANHATTAN,M03,35791,24382
3/1/19,MANHATTAN,M04,11565,8657
3/1/19,MANHATTAN,M05,5561,3803
3/1/19,MANHATTAN,M06,5011,4359
3/1/19,MANHATTAN,M07,16007,12027
3/1/19,MANHATTAN,M08,5384,4306
3/1/19,MANHATTAN,M09,21433,14030
3/1/19,MANHATTAN,M10,32129,20429
3/1/19,MANHATTAN,M11,41032,25777
3/1/19,MANHATTAN,M12,44388,30298
3/1/19,QUEENS,Q01,21767,12980
3/1/19,QUEENS,Q02,10552,6600
3/1/19,QUEENS,Q03,23341,13405
3/1/19,QUEENS,Q04,24662,14335
3/1/19,QUEENS,Q05,17263,10144
3/1/19,QUEENS,Q06,9883,6869
3/1/19,QUEENS,Q07,25320,16651
3/1/19,QUEENS,Q08,17063,10338
3/1/19,QUEENS,Q09,20744,12013
3/1/19,QUEENS,Q10,15396,9331
3/1/19,QUEENS,Q11,6403,4351
3/1/19,QUEENS,Q12,42290,25688
3/1/19,QUEENS,Q13,18552,11933
3/1/19,QUEENS,Q14,28643,15390
3/1/19,STATEN ISLAND,S01,35940,19122
3/1/19,STATEN ISLAND,S02,13728,8183
3/1/19,STATEN ISLAND,S03,9744,6233
6/1/19,BRONX,B01,42338,22839
6/1/19,BRONX,B02,20737,11386
6/1/19,BRONX,B03,39878,21657
6/1/19,BRONX,B04,53554,29604
6/1/19,BRONX,B05,51850,28291
6/1/19,BRONX,B06,37212,20093
6/1/19,BRONX,B07,43266,24741
6/1/19,BRONX,B08,15289,9180
6/1/19,BRONX,B09,49754,27386
6/1/19,BRONX,B10,16979,10433
