Incident Date,State,City Or County,Address,# Killed,# Injured
12/2/15,Georgia,Savannah,100 block of West 33rd Street,1,3
11/29/15,Illinois,Kankakee,648 E. Court St,0,5
11/27/15,California,Sacramento,7900 block of Florin Road,2,2
11/27/15,Colorado,Colorado Springs,3480 Centennial Blvd,3,9
11/24/15,South Carolina,Horry (county),1321 Colletta Court,0,4
11/23/15,Minnesota,Minneapolis,Morgan Avenue North,0,5
11/23/15,Ohio,Columbus,90 block of S. Terrace Avenue,4,1
11/22/15,Illinois,Chicago,4100 block of West Roosevelt,0,4
11/22/15,Louisiana,New Orleans,1900 block of Gallier Street,0,17
11/22/15,New York,Newburgh,203 Broadway,0,5
11/22/15,South Carolina,North Charleston,Park Circle,1,3
11/22/15,Texas,Brownsville,1800 Block of FM 802,0,4
11/22/15,Washington,Seattle,Broadway and Pike,0,4
11/21/15,Maryland,Baltimore,Stricker and School,1,3
11/20/15,Pennsylvania,Pittsburgh,Prospect Drive,1,3
11/18/15,California,Fresno,California Avenue and Martin Luther King Jr. Boulevard,0,5
11/16/15,Alabama,Cherokee (county),1400 block of County Road 664,3,1
11/15/15,Pennsylvania,Philadelphia,5600 block of Blakemore Street,0,4
11/15/15,Texas,Tennessee Colony,800 Block of County Road 2217,5,0
11/14/15,Pennsylvania,Johnstown,1159 Main St,0,4
11/13/15,Florida,Jacksonville,1300 block of South Shirley Oaks Drive,4,1
