Country Name,GDP_2021,Life_Expectancy_2021,Population_2021
Eswatini,3982.905229,57.066,1192271
Sint Maarten (Dutch part),32316.59598,73.972,42846
Seychelles,12963.06467,73.39756098,99258
Syrian Arab Republic,,72.063,21324367
Turks and Caicos Islands,23158.6379,74.587,45114
Chad,685.690315,52.525,17179740
Togo,964.0500102,61.619,8644829
Thailand,7060.897609,78.715,71601103
Tajikistan,916.6919671,71.594,9750064
Turkmenistan,,69.264,6341855
Timor-Leste,2741.393945,67.737,1320942
Tonga,4425.970591,70.986,106017
Trinidad and Tobago,16032.50277,72.971,1525663
Tunisia,3807.184563,73.772,12262946
Turkiye,9661.227734,76.032,84775404
Tuvalu,5372.756766,64.547,11204
Tanzania,1146.031982,66.201,63588334
Uganda,883.4657281,62.705,45853778
Ukraine,4827.845703,69.64780488,43792855
Uruguay,17923.99533,75.436,3426260
United States,70219.47245,76.32926829,332031554
Uzbekistan,1993.424478,70.862,34915100
St. Vincent and the Grenadines,8360.101059,69.629,104332
"Venezuela, RB",,70.554,28199867
British Virgin Islands,,74.494,31122
Virgin Islands (U.S.),,80.06829268,105870
Vietnam,3756.489122,73.618,97468029
Vanuatu,3044.57364,70.449,319137
World,12282.00007,71.32739068,7888161297
Samoa,3857.356685,72.767,218764
Kosovo,5269.783901,76.806,1786038
"Yemen, Rep.",603.7079594,63.753,32981641
South Africa,7055.055176,62.341,59392255
Zambia,1137.344395,61.223,19473125
Zimbabwe,1773.920411,59.253,15993524
