SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,New Georeferenced Column
267690191,5/3/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,0,BROOKLYN,60,989372,155205,40.592677,-73.981556,POINT (-73.981556 40.592677)
267680159,5/3/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,MANHATTAN,25,1001641,233513,40.80759794,-73.93717879,POINT (-73.93717879 40.80759794)
267691460,5/4/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,WHITE HISPANIC,0,MANHATTAN,34,1005686,254817,40.86606234,-73.92249903,POINT (-73.92249903 40.86606234)
267835390,5/5/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,WHITE HISPANIC,0,MANHATTAN,33,1001853,244535,40.83784978,-73.93638407,POINT (-73.93638407 40.83784978)
267803564,5/6/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,WHITE HISPANIC,0,BRONX,40,1006868,237802,40.81935821,-73.91828295,POINT (-73.91828295 40.81935821)
267898495,5/7/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK HISPANIC,0,BRONX,46,1010128,250718,40.854802,-73.906451,POINT (-73.906451 40.854802)
267921114,5/8/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,45-64,M,BLACK,0,QUEENS,113,1040181,184929,40.67408741,-73.79836572,POINT (-73.79836572 40.67408741)
267919056,5/8/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,WHITE HISPANIC,0,BROOKLYN,83,1007039,192934,40.69620665,-73.91781722,POINT (-73.91781722 40.69620665)
268041810,5/10/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,ASIAN / PACIFIC ISLANDER,0,MANHATTAN,5,984668,200001,40.71563323,-73.99849214,POINT (-73.99849214 40.71563323)
268057342,5/10/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BRONX,40,1007770,237315,40.81801918,-73.9150258,POINT (-73.9150258 40.81801918)
