Date,location,operator,planeType,Dead,Aboard,Ground,,,
8/1/24,United States,US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
11/6/24,"Cabrerolles, France",Grands Express Aeriens,?,1,1,0,,,
12/21/24,"Goshen, Indiana",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
12/24/24,"Purley, England",Imperial Airways,de Havilland DH-34B,8,8,0,,,
3/22/25,"Near Tiflis, Georgia, USSR",Zakavia,Junkers F-13,5,3,0,,,
4/25/25,"Alicante, Spain",Grands Express Aeriens,Breguet 14,4,4,0,,,
5/25/25,"Alicante, Spain",Lignes Aeriennes Latecoere,Breguet 14,2,2,0,,,
6/25/25,"Landr????cies, France",KLM Royal Dutch Airlines,Fokker (KLM)  F.III,4,4,0,,,
6/26/25,"Alicante, Spain",Grands Express Aeriens,Lior????-et-Olivier H-13,2,2,0,,,
7/20/25,"Rosas, Spain",Lignes Aeriennes Latecoere,Breguet 14,1,1,0,,,
7/24/25,"Budapest, Hungary",CIDNA,Potez IX,1,1,0,,,
9/3/25,"Caldwell, Ohio",Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship),14,43,0,,,
9/7/25,"Toul, France",CIDNA,?,3,3,0,,,
10/1/25,"Nittany Mt, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0,,,
11/14/25,"Off Boulogne-sur-Mer, France",Air Union,Farman F-60 Goliath,2,2,0,,,
2/12/26,"Montpelier, Ohio",US Aerial Mail Service,Curtiss Carrier Pigeon,1,1,0,,,
3/8/26,"Staaken, Germany",Deutche Lufthansa,Junkers F-13,1,1,0,,,
5/31/26,English Channel,Air Union,Breguet 14,1,1,0,,,
7/3/26,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation A????rienne,Caudron C-61,6,6,0,,,
7/9/26,"Wolvertem, Belgium",KLM Royal Dutch Airlines,Fokker F-4,2,2,0,,,
7/24/26,"Juist, Germany",Deutsche Lufthansa,Junkers F-13,4,4,0,,,
8/18/26,"Hurst, Kent, England",Air Union,Bleriot 155,4,4,0,,,
9/26/26,"New York, New York",?,Sikorsky S-25,2,5,0,,,
10/8/26,"Bueren, Germany",Deutsche Lufthansa,Fokker FG III,4,4,0,,,
10/21/26,English Channel,Imperial Airways,Handley Page W-10,0,12,0,,,
11/11/26,"Cape Bojador, Morocco",Grands Express Aeriens,Breguet 14,3,3,0,,,
12/16/26,"Medford, Oregon",Pacific Air Transport,Ryan M-1,1,1,0,,,
1/12/27,"Estaires, France",Fokker,Fokker F-VII,2,2,0,,,
3/20/27,"Rabat, Morocco",Grands Express Aeriens,Breguet 14,1,1,0,,,
3/24/27,"Tambo, Qld, Australia",Qantas,de Havilland DH-9C,3,3,0,,,
4/15/27,"King Hill, Idaho",Varney Air Lines,"Swallow
Swallow,1,1,0
1927-04-22""","Floh, Germany",Deutsche Lufthansa,Fokker FG III,2,2,0
4/22/27,"Goshen, Indiana",US Aerial Mail Service,Douglas M-4,1,1,0,,,
5/2/27,"Algiers, Algeria",Air Union,SPCA Meteore 63,1,3,0,,,
7/27/27,"Amoneburg, Germany",Deutsche Lufthansa,Junkers F-13,5,5,0,,,
8/22/27,"Sevenoaks, England",KLM Royal Dutch Airlines,Fokker F-VIII,1,11,0,,,
9/3/27,"Willington, Connecticut",Colonial Air Transport,Fokker Universal,1,1,0,,,
9/17/27,"Hadley, New Jersey",Reynolds Airways,Fokker F-VII,7,12,0,,,
9/17/27,"Near Dunellen, New Jersey",Reynolds Airways,Fokker F-V!!b-3m,7,7,0,,,
9/23/27,"Schleiz, Germany",Deutsche Lufthansa,Dornier Merkur,6,6,0,,,
9/23/27,"Near schleiz, Thuringia,, Germany",Deutsche Lufthansa,Dornier Merkur D-585,6,6,0,,,
