FY,EMPL,Tax ID,PS,PC,PZ,WS,OCC,Ind,Wage
2020,,4445,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,4713,MT,Dillon,59725,MT,45,11,$12.00 - $13.99
2020,,5524,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,4684,MT,Dillon,59725,MT,45,11,$12.00 - $13.99
2020,,8870,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,9454,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,9550,KY,Lexington,40508,OH,45,11,$14.00 - $15.99
2020,,8071,MT,Dell,59724,MT,45,11,$12.00 - $13.99
2020,,175,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,7486,TX,Crowell,79227,TX,45,11,$12.00 - $13.99
2020,,5821,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,1980,KY,Lexington,40508,TN,45,11,$10.00 - $11.99
2020,,3218,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,2790,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6570,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,76,NC,Henderson,27536,VA,45,11,$12.00 - $13.99
2020,,6598,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,3231,KY,Columbia,42728,KY,45,11,$10.00 - $11.99
2020,,3395,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,2475,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,807,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,4052,NC,Dunn,28334,NC,45,11,$12.00 - $13.99
2020,,6338,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,1650,ND,Kenmare,58746,ND,45,11,$14.00 - $15.99
2020,,8115,GA,Douglas,31533,GA,45,11,$10.00 - $11.99
2020,,9486,TX,San Angelo,76905,TX,45,11,$12.00 - $13.99
2020,,939,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,4619,KY,Paris,40361,KY,45,11,$12.00 - $13.99
2020,,789,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6575,ID,Gooding,83330,ID,45,11,$12.00 - $13.99
2020,,3973,ID,Caldwell,83607,ID,45,11,$12.00 - $13.99
2020,,6900,ID,Dietrich,83324,ID,45,11,$12.00 - $13.99
2020,,1167,ID,Paul,83347,ID,45,11,$12.00 - $13.99
2020,,1817,ID,Paul,83347,ID,45,11,$12.00 - $13.99
2020,,8740,ID,Victor,83455,ID,45,11,$12.00 - $13.99
2020,,4648,ID,Mountain Home,83647,ID,45,11,$12.00 - $13.99
2020,,7840,ID,Firth,83236,ID,45,11,$12.00 - $13.99
2020,,1387,ID,Declo,83323,ID,45,11,$12.00 - $13.99
2020,,8270,ID,Shelley,83274,ID,45,11,$12.00 - $13.99
2020,,663,ID,Rupert,83350,ID,45,11,$12.00 - $13.99
2020,,5083,ID,Dietrich,83324,ID,45,11,$12.00 - $13.99
2020,,9190,ID,Bellevue,83313,ID,45,11,$12.00 - $13.99
2020,,5237,ID,Malta,83342,ID,45,11,$12.00 - $13.99
2020,,6398,ID,Hazelton,83335,ID,45,11,$12.00 - $13.99
2020,,1247,ID,Pocatello,83202,ID,45,11,$12.00 - $13.99
2020,,3735,ID,Heyburn,83336,ID,45,11,$12.00 - $13.99
2020,,1177,ID,Eden,83325,ID,45,11,$12.00 - $13.99
2020,,6721,ID,Mountain Home,83647,ID,45,11,$12.00 - $13.99
2020,,7120,ID,Burley,83318,ID,45,11,$12.00 - $13.99
2020,,5608,ID,Firth,83236,ID,45,11,$12.00 - $13.99
2020,,9139,ID,Paul,83347,ID,45,11,$12.00 - $13.99
2020,,6459,ID,Paul,83347,ID,45,11,$12.00 - $13.99
2020,,8534,ID,Paul,83347,ID,45,11,$12.00 - $13.99
2020,,3809,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,9707,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,6128,KY,Lexington,40508,TN,45,11,$10.00 - $11.99
2020,,8461,TN,Lafayette,37083,TN,45,11,$12.00 - $13.99
2020,,7178,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,7524,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,4819,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,209,CA,El Dorado,95623,CA,45,11,$10.00 - $11.99
2020,,6606,ID,Richfield,83349,ID,45,11,$12.00 - $13.99
2020,,1743,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,3278,GA,Douglas,31533,GA,45,11,$10.00 - $11.99
2020,,2086,GA,Statesboro,30461,GA,45,11,$10.00 - $11.99
2020,,8662,GA,Douglas,31533,GA,45,11,$10.00 - $11.99
2020,,4127,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,5659,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,3254,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,4391,GA,Douglas,31533,GA,45,11,$10.00 - $11.99
2020,,4391,GA,Douglas,31535,GA,45,11,$10.00 - $11.99
2020,,7097,KY,Clinton,42031,KY,45,11,$12.00 - $13.99
