country,firearms per 100 persons,region,subregion,pop_2017,firearms in civilian possession,Computation method,registered firearms,unregistered firearms,
 Nigeria,3.2,Africa,West Africa,"191,836,000","6,154,000",2,N/A,N/A,
 Trinidad and Tobago,3.2,Americas,Caribbean,"1,369,000","43,000",2,"10,550","32,450",
 Djibouti,3.1,Africa,East Africa,"911,000","28,000",2,N/A,N/A,
 Laos,3,Asia,South-East Asia,"7,038,000","215,000",3,N/A,N/A,
 Moldova,3,Europe,Eastern Europe,"4,055,000","121,000",2,"54,663","66,337",
 Kazakhstan,2.8,Asia,Central Asia,"18,064,000","504,000",2,"284,000","220,000",
 Kyrgyzstan,2.8,Asia,Central Asia,"6,125,000","171,000",3,"29,237","141,763",
 Mauritania,2.8,Africa,West Africa,"4,266,000","120,000",2,N/A,N/A,
 Zimbabwe,2.8,Africa,East Africa,"16,338,000","455,000",2,"190,685","264,315",
 Aruba,2.6,Americas,Caribbean,"105,000","3,000",3,N/A,N/A,
 Curaçao,2.6,Americas,Caribbean,"160,000","4,000",3,N/A,N/A,
 Haiti,2.6,Americas,Caribbean,"10,983,000","291,000",2,"20,379","270,621",
 Netherlands,2.6,Europe,Western Europe,"17,033,000","442,000",1,"205,347","236,653",
 Northern Mariana Islands,2.6,Oceania,Micronesia,"56,000","1,000",2,N/A,N/A,
 Romania,2.6,Europe,Eastern Europe,"19,238,000","506,000",2,"210,000","296,000",
 French Polynesia,2.5,Oceania,Polynesia,"289,000","7,000",2,N/A,N/A,
 Poland,2.5,Europe,Central Europe,"38,564,000","968,000",1,"380,000","588,000",
 Congo,2.4,Africa,Central Africa,"4,866,000","119,000",2,N/A,N/A,
 Ecuador,2.4,Americas,South America,"16,626,000","402,000",2,"167,102","234,898",
 Sri Lanka,2.4,Asia,South Asia,"20,905,000","494,000",2,"35,000","459,000",
 Algeria,2.1,Africa,North Africa,"41,064,000","877,000",2,"200,000","677,000",
 Cameroon,2.1,Africa,Central Africa,"24,514,000","510,000",2,N/A,N/A,
 Cuba,2.1,Americas,Caribbean,"11,390,000","234,000",2,"58,150","175,850",
 Liberia,2.1,Africa,West Africa,"4,730,000","97,000",2,N/A,N/A,
 Bolivia,2,Americas,South America,"11,053,000","218,000",3,"10,982","207,018",
 Burundi,2,Africa,East Africa,"11,936,000","238,000",2,N/A,N/A,
 Peru,2,Americas,South America,"32,166,000","633,000",2,"365,845","267,155",
 Senegal,2,Africa,West Africa,"16,054,000","323,000",2,"7,053","315,947",
 Central African Republic,1.8,Africa,Central Africa,"5,099,000","94,000",2,N/A,N/A,
 Myanmar,1.6,Asia,South-East Asia,"54,836,000","877,000",3,N/A,N/A,
 Vietnam,1.6,Asia,South-East Asia,"95,415,000","1,562,000",2,N/A,N/A,
 Comoros,1.5,Africa,East Africa,"826,000","12,000",2,N/A,N/A,
 Guinea-Bissau,1.5,Africa,West Africa,"1,933,000","29,000",2,N/A,N/A,
 Kenya,1.5,Africa,East Africa,"48,467,000","750,000",2,"8,136","741,864",
   Nepal,1.5,Asia,South Asia,"29,187,000","444,000",2,"34,315","409,685",
 Brunei,1.4,Asia,South-East Asia,"434,000","6,000",2,N/A,N/A,
 DR Congo,1.2,Africa,Central Africa,"82,243,000","946,000",2,216,"945,784",
 Tuvalu,1.2,Oceania,Polynesia,"10,000",100,2,50,50,
 Mali,1.1,Africa,West Africa,"18,690,000","206,000",2,N/A,N/A,
 Palestine,1.1,Asia,Western Asia,"4,952,000","56,000",2,N/A,N/A,
 Tunisia,1.1,Africa,North Africa,"11,495,000","123,000",3,"3,408","119,592",
 Chad,1,Africa,Central Africa,"14,965,000","151,000",2,N/A,N/A,
 Guinea,1,Africa,West Africa,"13,291,000","130,000",2,N/A,N/A,
 Papua New Guinea,1,Oceania,Melanesia,"7,934,000","79,000",2,"27,043","51,957",
 Burkina Faso,0.9,Africa,West Africa,"19,173,000","175,000",2,N/A,N/A,
 Zambia,0.9,Africa,East Africa,"17,238,000","158,000",2,"86,642","71,358",
 Bhutan,0.8,Asia,South Asia,"793,000","6,000",3,"4,309","1,691",
 Kiribati,0.8,Oceania,Melanesia,"116,000",900,2,N/A,N/A,
 Tanzania,0.8,Africa,East Africa,"56,878,000","427,000",2,"115,850","311,150",
 Togo,0.8,Africa,West Africa,"7,692,000","58,000",2,"10,000","48,000",
 Uganda,0.8,Africa,East Africa,"41,653,000","331,000",2,"21,156","309,844",
 British Virgin Islands,0.8,Americas,Caribbean,"31,000",300,2,48,252,
 American Samoa,0.7,Oceania,Polynesia,"56,000",400,2,250,150,
 Madagascar,0.7,Africa,East Africa,"25,613,000","168,000",2,N/A,N/A,
 Malaysia,0.7,Asia,South-East Asia,"31,164,000","217,000",2,"142,038","74,962",
 Micronesia,0.7,Oceania,Micronesia,"106,000",700,2,N/A,N/A,
 Fiji,0.5,Oceania,Melanesia,"903,000","5,000",2,"1,538","3,462",
 Marshall Islands,0.5,Oceania,Melanesia,"53,000",300,2,N/A,N/A,
 Niger,0.5,Africa,West Africa,"21,564,000","117,000",2,"2,000","115,000",
 Palau,0.5,Oceania,Melanesia,"22,000",100,2,N/A,N/A,
 Rwanda,0.5,Africa,East Africa,"12,160,000","66,000",2,N/A,N/A,
 Sierra Leone,0.5,Africa,West Africa,"6,733,000","35,000",2,N/A,N/A,
 Bangladesh,0.4,Asia,South Asia,"164,828,000","659,000",2,"185,000","474,000",
 Eritrea,0.4,Africa,East Africa,"5,482,000","23,000",2,N/A,N/A,
 Ethiopia,0.4,Africa,East Africa,"104,345,000","377,000",2,N/A,N/A,
 Tajikistan,0.4,Asia,Central Asia,"8,858,000","37,000",2,"9,863","27,137",
 Turkmenistan,0.4,Asia,Central Asia,"5,503,000","23,000",3,N/A,N/A,
 Uzbekistan,0.4,Asia,Central Asia,"30,691,000","127,000",3,N/A,N/A,
 Benin,0.3,Africa,West Africa,"11,459,000","33,000",2,N/A,N/A,
