Year Type,Year,Organization Group Code,Organization Group,Department,Job Family,Job,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
Fiscal,1995,1,Public Protection,FIR Fire Department,Fire Services,"Lieutenant, Fire Suppression",133632.44,132096.19,27845.09,293573.72,27752.11,16613.59,4977.52,49343.22,342916.94
Fiscal,2014,1,Public Protection,SHF Sheriff,Correction & Detention,Senior Deputy Sheriff,113674.8,160622.81,18875.8,293173.41,34248.04,13442.5,4953.92,52644.46,345817.87
Fiscal,2009,1,Public Protection,SHF Sheriff,Correction & Detention,Deputy Sheriff,104621,163724.36,24665.26,293010.62,34276.81,13712.8,5017.87,53007.48,346018.1
Fiscal,2007,1,Public Protection,FIR Fire Department,Fire Services,Asst Chf Of Dept (Fire Dept),213680.13,43273.37,35946.14,292899.64,42966.57,16771.81,5006.84,64745.22,357644.86
Fiscal,1992,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",208169.43,53331.33,30947.62,292448.38,42204.11,15992.21,4973.82,63170.14,355618.52
Fiscal,2011,1,Public Protection,POL Police,Police Services,Sergeant 3,109912.41,49905.8,132447.12,292265.33,23620.24,9531.41,358.22,33509.87,325775.2
Fiscal,2005,4,Community Health,DPH Public Health,Nursing,Anesthetist,266955.11,6405.15,18668.15,292028.41,51316.13,13100.53,12743.85,77160.51,369188.92
Fiscal,2017,1,Public Protection,SHF Sheriff,Correction & Detention,Sheriff's Lieutenant,138256.4,109992.28,42964.77,291213.45,41783.97,13025.1,4936.66,59745.73,350959.18
Fiscal,2005,4,Community Health,DPH Public Health,Medical & Dental,Supervising Physician Spec,253101.8,0,37965.26,291067.06,52329.23,13739.17,13178.23,79246.63,370313.69
Fiscal,2003,4,Community Health,DPH Public Health,Nursing,Anesthetist,253010.25,9215.62,28649.16,290875.03,51019.54,13201.12,12698.26,76918.92,367793.95
Fiscal,2009,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",186641.43,80787.61,23329.52,290758.56,35553.13,16930.04,3490.22,55973.39,346731.95
Fiscal,2012,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",182976.63,94909.64,12727.27,290613.54,34252.69,16143.08,4931.42,55327.19,345940.73
