school_ID,School,State,School Type,subsidized_count,subsidized_amt,unsubsidized_count,unsubsidized_amt,academic_yr,academic_q
125000,ORANGE COAST COLLEGE,CA,Public,262,414250,159,308495,2014_2015,4
125100,OTIS COLLEGE OF ART AND DESIGN,CA,Private-Nonprofit,8,19950,7,16750,2014_2015,4
125200,HOPE INTERNATIONAL UNIVERSITY,CA,Private-Nonprofit,1032,2290619,1001,2253746,2014_2015,4
125300,FRESNO PACIFIC UNIVERSITY,CA,Private-Nonprofit,300,999793,235,774220,2014_2015,4
125500,PACIFIC OAKS COLLEGE,CA,Private-Nonprofit,732,1421499,666,1550604,2014_2015,4
125600,PACIFIC SCHOOL OF RELIGION,CA,Private-Nonprofit,0,0,0,0,2014_2015,4
125800,PACIFIC UNION COLLEGE,CA,Private-Nonprofit,1006,1584750,1053,1785616,2014_2015,4
126000,PALOMAR COLLEGE,CA,Public,14,16433,0,0,2014_2015,4
126100,PASADENA CITY COLLEGE,CA,Public,81,115492,64,76143,2014_2015,4
126200,POINT LOMA NAZARENE UNIVERSITY,CA,Private-Nonprofit,42,122799,46,102774,2014_2015,4
126600,LANEY COLLEGE,CA,Public,104,162866,103,163926,2014_2015,4
126700,MERRITT COLLEGE,CA,Public,103,180433,86,153748,2014_2015,4
126900,RIO HONDO COMMUNITY COLLEGE,CA,Public,133,132131,75,109312,2014_2015,4
127000,RIVERSIDE CITY COLLEGE,CA,Public,167,272669,60,121585,2014_2015,4
127300,SAN DIEGO CITY COLLEGE,CA,Public,164,246768,8,16214,2014_2015,4
127500,SAN DIEGO MESA COLLEGE,CA,Public,136,185222,12,15472,2014_2015,4
127800,SAN FRANCISCO CONSERVATORY OF MUSIC,CA,Private-Nonprofit,0,0,0,0,2014_2015,4
127900,SAN FRANCISCO THEOLOGICAL SEMINARY,CA,Private-Nonprofit,0,0,0,0,2014_2015,4
128000,SAN JOAQUIN DELTA COLLEGE,CA,Public,364,428715,162,197501,2014_2015,4
128100,WILLIAM JESSUP UNIVERSITY,CA,Private-Nonprofit,164,329718,142,369818,2014_2015,4
128200,SAN JOSE CITY COLLEGE,CA,Public,55,83416,19,30081,2014_2015,4
128400,SANTA ANA COLLEGE,CA,Public,241,246690,176,244993,2014_2015,4
128500,SANTA BARBARA CITY COLLEGE,CA,Public,150,197756,134,182437,2014_2015,4
128600,SANTA MONICA COLLEGE,CA,Public,203,356771,83,82750,2014_2015,4
128700,SANTA ROSA JUNIOR COLLEGE - SANTA ROSA,CA,Public,80,129463,37,54002,2014_2015,4
128800,CLAREMONT SCHOOL OF THEOLOGY,CA,Private-Nonprofit,0,0,0,0,2014_2015,4
128900,SHASTA COLLEGE,CA,Public,208,365422,162,273459,2014_2015,4
129000,SIERRA COLLEGE,CA,Public,435,695325,379,636891,2014_2015,4
129100,SIMPSON UNIVERSITY,CA,Private-Nonprofit,229,467807,239,490632,2014_2015,4
129200,SOLANO COMMUNITY COLLEGE,CA,Public,52,94392,40,77792,2014_2015,4
129300,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA,CA,Private-Nonprofit,210,399152,271,733250,2014_2015,4
129400,SOUTHWESTERN COMMUNITY COLLEGE DISTRICT,CA,Public,229,368639,21,32415,2014_2015,4
129500,SOUTHWESTERN LAW SCHOOL,CA,Private-Nonprofit,0,0,0,0,2014_2015,4
129600,DOMINICAN SCHOOL OF PHILOSOPHY AND THEOLOGY,CA,Private-Nonprofit,0,0,0,0,2014_2015,4
130200,SAINT MARY'S COLLEGE OF CALIFORNIA,CA,Private-Nonprofit,166,338207,169,443039,2014_2015,4
130500,STANFORD UNIVERSITY,CA,Private-Nonprofit,25,48169,86,139139,2014_2015,4
130700,FRESNO CITY COLLEGE,CA,Public,180,155638,18,16821,2014_2015,4
130800,REEDLEY COLLEGE,CA,Public,86,119840,19,19672,2014_2015,4
131200,"UNIVERSITY OF CALIFORNIA, BERKELEY",CA,Public,1942,2950254,1390,2113667,2014_2015,4
131300,"UNIVERSITY OF CALIFORNIA, DAVIS",CA,Public,2416,3577933,1027,1824688,2014_2015,4
131400,"UNIVERSITY OF CALIFORNIA, IRVINE",CA,Public,3477,3601817,2241,2460109,2014_2015,4
131500,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CA,Public,1412,2144324,1798,2902544,2014_2015,4
131600,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",CA,Public,7636,9543571,5403,5016744,2014_2015,4
131700,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,Public,2257,2364334,2832,3007544,2014_2015,4
131900,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,Public,0,0,0,0,2014_2015,4
132000,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",CA,Public,1875,3317125,1613,2693580,2014_2015,4
132100,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",CA,Public,1067,1786897,1102,1796080,2014_2015,4
132200,UNIVERSITY OF REDLANDS,CA,Private-Nonprofit,1290,1706653,1366,2536841,2014_2015,4
132500,UNIVERSITY OF SAN FRANCISCO,CA,Private-Nonprofit,109,266917,126,347529,2014_2015,4
132600,SANTA CLARA UNIVERSITY,CA,Private-Nonprofit,49,80425,60,85298,2014_2015,4
132800,UNIVERSITY OF SOUTHERN CALIFORNIA,CA,Private-Nonprofit,151,318310,158,335307,2014_2015,4
132900,UNIVERSITY OF THE PACIFIC,CA,Private-Nonprofit,263,586215,215,385480,2014_2015,4
133400,VENTURA COLLEGE,CA,Public,56,79759,44,77446,2014_2015,4
133800,WEST VALLEY COLLEGE,CA,Public,6,8000,6,9375,2014_2015,4
133900,CORBAN UNIVERSITY,OR,Private-Nonprofit,89,226812,81,267593,2014_2015,4
134100,WESTMONT COLLEGE,CA,Private-Nonprofit,9,16384,9,12796,2014_2015,4
134200,WHITTIER COLLEGE,CA,Private-Nonprofit,6,9500,29,52827,2014_2015,4
134300,WOODBURY UNIVERSITY,CA,Private-Nonprofit,112,255055,108,270165,2014_2015,4
134500,ADAMS STATE UNIVERSITY,CO,Public,187,192637,199,253243,2014_2015,4
134600,ARAPAHOE COMMUNITY COLLEGE,CO,Public,504,566683,735,835270,2014_2015,4
134700,COLORADO COLLEGE,CO,Private-Nonprofit,5,14421,9,18836,2014_2015,4
134800,COLORADO SCHOOL OF MINES,CO,Public,69,105543,45,111462,2014_2015,4
134900,UNIVERSITY OF NORTHERN COLORADO,CO,Public,294,609226,296,718090,2014_2015,4
135000,COLORADO STATE UNIVERSITY,CO,Public,580,1196884,758,1755407,2014_2015,4
135200,DENVER SEMINARY,CO,Private-Nonprofit,0,0,0,0,2014_2015,4
135300,FORT LEWIS COLLEGE,CO,Public,88,154866,81,186536,2014_2015,4
135400,ILIFF SCHOOL OF THEOLOGY,CO,Private-Nonprofit,0,0,0,0,2014_2015,4
135500,LAMAR COMMUNITY COLLEGE,CO,Public,48,52424,52,65366,2014_2015,4
135800,COLORADO MESA UNIVERSITY,CO,Public,350,377594,404,469985,2014_2015,4
135900,COLORADO NORTHWESTERN COMMUNITY COLLEGE,CO,Public,54,69602,39,57506,2014_2015,4
136000,METROPOLITAN STATE UNIVERSITY OF DENVER,CO,Public,1862,1800845,2078,2261207,2014_2015,4
136100,NORTHEASTERN JUNIOR COLLEGE,CO,Public,102,85329,49,59960,2014_2015,4
136200,OTERO JUNIOR COLLEGE,CO,Public,355,253961,186,133475,2014_2015,4
136300,REGIS UNIVERSITY,CO,Private-Nonprofit,2075,3418975,2037,5081495,2014_2015,4
136500,COLORADO STATE UNIVERSITY-PUEBLO,CO,Public,318,331654,413,442247,2014_2015,4
136800,TRINIDAD STATE JUNIOR COLLEGE,CO,Public,76,82343,86,101832,2014_2015,4
137000,UNIVERSITY OF COLORADO BOULDER,CO,Public,583,1346270,494,1110939,2014_2015,4
137100,UNIVERSITY OF DENVER,CO,Private-Nonprofit,108,235256,111,217988,2014_2015,4
137200,WESTERN STATE COLORADO UNIVERSITY,CO,Public,14,24784,20,53167,2014_2015,4
137400,ALBERTUS MAGNUS COLLEGE,CT,Private-Nonprofit,687,1206153,699,1449193,2014_2015,4
137800,CENTRAL CONNECTICUT STATE UNIVERSITY,CT,Public,209,436341,212,436106,2014_2015,4
137900,CONNECTICUT COLLEGE,CT,Private-Nonprofit,10,20058,10,13500,2014_2015,4
138000,WESTERN CONNECTICUT STATE UNIVERSITY,CT,Public,149,155289,138,167721,2014_2015,4
138500,FAIRFIELD UNIVERSITY,CT,Private-Nonprofit,78,242803,81,289569,2014_2015,4
138900,HOLY APOSTLES COLLEGE & SEMINARY,CT,Private-Nonprofit,2,4500,4,8000,2014_2015,4
139200,MANCHESTER COMMUNITY COLLEGE,CT,Public,0,0,3,1025,2014_2015,4
139300,MITCHELL COLLEGE,CT,Private-Nonprofit,12,22886,11,20743,2014_2015,4
139700,UNIVERSITY OF NEW HAVEN,CT,Private-Nonprofit,141,278389,146,276610,2014_2015,4
139800,NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE,CT,Public,8,6700,4,3300,2014_2015,4
140100,POST UNIVERSITY,CT,Proprietary,5596,10336156,6053,13229772,2014_2015,4
140200,QUINNIPIAC UNIVERSITY,CT,Private-Nonprofit,127,236267,140,315047,2014_2015,4
140300,SACRED HEART UNIVERSITY,CT,Private-Nonprofit,211,426768,248,548616,2014_2015,4
140600,SOUTHERN CONNECTICUT STATE UNIVERSITY,CT,Public,123,238796,140,375932,2014_2015,4
140900,UNIVERSITY OF SAINT JOSEPH,CT,Private-Nonprofit,63,192096,71,294696,2014_2015,4
141400,TRINITY COLLEGE,CT,Private-Nonprofit,12,16519,16,29927,2014_2015,4
141600,UNIVERSITY OF BRIDGEPORT,CT,Private-Nonprofit,2029,1928652,2145,2620094,2014_2015,4
141700,UNIVERSITY OF CONNECTICUT,CT,Public,549,1080638,550,1145352,2014_2015,4
142200,UNIVERSITY OF HARTFORD,CT,Private-Nonprofit,91,309955,90,253886,2014_2015,4
142400,WESLEYAN UNIVERSITY,CT,Private-Nonprofit,22,28412,20,24404,2014_2015,4
142500,EASTERN CONNECTICUT STATE UNIVERSITY,CT,Public,113,202537,171,263733,2014_2015,4
142600,YALE UNIVERSITY,CT,Private-Nonprofit,39,71374,43,80386,2014_2015,4
142800,DELAWARE STATE UNIVERSITY,DE,Public,314,272314,289,355426,2014_2015,4
142900,GOLDEY-BEACOM COLLEGE,DE,Private-Nonprofit,54,81036,34,52723,2014_2015,4
143100,UNIVERSITY OF DELAWARE,DE,Public,197,360380,301,431414,2014_2015,4
143300,WESLEY COLLEGE,DE,Private-Nonprofit,12,6875,9,15375,2014_2015,4
143400,AMERICAN UNIVERSITY,DC,Private-Nonprofit,232,555082,269,485127,2014_2015,4
143600,CAPITOL TECHNOLOGY UNIVERSITY,MD,Private-Nonprofit,3,4450,4,11964,2014_2015,4
143700,CATHOLIC UNIVERSITY OF AMERICA,DC,Private-Nonprofit,52,109272,48,134138,2014_2015,4
144100,UNIVERSITY OF THE DISTRICT OF COLUMBIA,DC,Public,170,317299,150,354666,2014_2015,4
144300,GALLAUDET UNIVERSITY,DC,Private-Nonprofit,48,79945,38,83237,2014_2015,4
144400,GEORGE WASHINGTON UNIVERSITY,DC,Private-Nonprofit,163,379943,222,555898,2014_2015,4
144500,GEORGETOWN UNIVERSITY,DC,Private-Nonprofit,152,378920,120,323870,2014_2015,4
144800,HOWARD UNIVERSITY,DC,Private-Nonprofit,355,743510,382,780518,2014_2015,4
145900,STRAYER UNIVERSITY,DC,Proprietary,29945,42120288,30246,63602026,2014_2015,4
