museum,location,#_objects,latitude,longitude
Dallas Museum of Art,"1717 N Harwood St, Dallas, TX 75201, United States",4,32.78734401,-96.80016399
de Young museum,"50 Hagiwara Tea Garden Dr, San Francisco, CA 94118, United States",3,37.76934999,-122.482164
Denver Art Museum,"100 W 14th Ave Pkwy, Denver, CO 80204, United States",3,39.73740501,-104.989565
Minneapolis Institute of Arts,"2400 3rd Ave S, Minneapolis, MN 55404, United States",3,44.95821502,-93.27403697
Sam Noble Oklahoma Museum of Natural History (formerly Stovall Museum),"2401 Chautauqua Ave, Norman, OK 73072",3,35.19294301,-97.445766
Baltimore Museum of Art,"10 Art Museum Dr, Baltimore, MD 21218, United States",3,39.32580101,-76.61972602
Bernisches Historisches Museum,"Helvetiapl. 5, 3005 Bern, Switzerland",3,46.94295477,7.449295161
Nelson-Atkins Museum of Art,"4525 Oak St, Kansas City, MO 64111, United States",3,39.04400302,-94.58082597
Barnes Foundation,"2025 Benjamin Franklin Pkwy, Philadelphia, PA 19130, United States",3,39.96061799,-75.17273301
Davis Museum at Wellesley College,"106 Central St, Wellesley, MA 02481, United States",3,42.29005726,-71.30659937
"SLAM, Saint Louis Art Museum","1 Fine Arts Dr, St. Louis, MO 63110",3,38.63815001,-90.284712
"Patricia & Phillip Frost Art Museum, Florida International University","10975 SW 17th St, Miami, FL 33199, United States",3,25.75307719,-80.37354981
Royal Armouries,"Armouries Dr, Leeds LS10 1LT, UK",3,53.79059197,-1.529413997
Royal Museums Greenwich,"Romney Rd, London SE10 9NF, UK",3,51.48202945,-0.005604588
Royal Albert Memorial Museum & Art Gallery (RAMM),"Queen St, Exeter EX4 3RX, UK",3,50.7262858,-3.534142422
"HMA, Haffenreffer Museum of Anthropology at Brown University","21 Prospect St, Providence, RI 02912, United States",2,41.82647402,-71.40386699
Museum aan de Stroom,"Hanzestedenplaats 1, 2000 Antwerpen, Belgium",2,51.22893069,4.404709146
Harvard Art Museums,"32 Quincy St, Cambridge, MA 02138, United States",2,42.37416509,-71.11432915
Krannert Art Museum | University of Illinois at Urbana-Champaign,"500 East Peabody Drive, Champaign, IL 61820, USA",2,40.10201566,-88.2313458
Bristol Museum & Art Gallery,"Bristol Museum & Art Gallery, Queens Rd, Bristol BS8 1RL, United Kingdom",2,51.45595,-2.60474
Yale University Art Gallery,"1111 Chapel St, New Haven, CT 06510, United States",2,41.30839499,-72.93076703
Birmingham Museums Trust,"Chamberlain Square, Birmingham B3 3DH, United Kingdom",2,52.48010632,-1.904583766
"Calderdale Museums, Bankfield Museum","Akroyd Park, Boothtown Rd, Halifax HX3 6HG, United Kingdom",2,53.73372,-1.864800035
