Electricity Sales to Ultimate Customers Residential Monthly
https://www.eia.gov/opendata/v1/qb.php?category=711290&sdid=TOTAL.ESRCPUS.M
13:21:40 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.ESRCPUS.M Million Kilowatthours
May 2009,94312.177
Apr 2009,91631.162
Mar 2009,106501.361
Feb 2009,115212.233
Jan 2009,136228.783
Dec 2008,125195.491
Nov 2008,95766.492
Oct 2008,96110.59
Sep 2008,117078.135
Aug 2008,138459.916
Jul 2008,143179.152
Jun 2008,121375.876
May 2008,92245.628
Apr 2008,92165.894
Mar 2008,107162.483
Feb 2008,118553.646
Jan 2008,133368.442
Dec 2007,117407.955
Nov 2007,95904.831
Oct 2007,103753.922
Sep 2007,129512.024
Aug 2007,150101.494
Jul 2007,139027.03
Jun 2007,117417.595
May 2007,96388.854
Apr 2007,90282.047
Mar 2007,105694.76
Feb 2007,121464.249
Jan 2007,125286.236
Dec 2006,114881.599
Nov 2006,94842.851
Oct 2006,96246.214
Sep 2006,116072.164
Aug 2006,150064.425
Jul 2006,147338.329
Jun 2006,118815.308
May 2006,93999.951
Apr 2006,89374.095
Mar 2006,104955.192
Feb 2006,104511.063
Jan 2006,120418.845
Dec 2005,120177.221
Nov 2005,91686.571
Oct 2005,102685.879
Sep 2005,126515.635
Aug 2005,146904.78
Jul 2005,144476.336
Jun 2005,116627.438
May 2005,87384.112
Apr 2005,86749.16
Mar 2005,104065.203
Feb 2005,106666.913
Jan 2005,125287.859
Dec 2004,113956.432
Nov 2004,89649.741
Oct 2004,93466.169
Sep 2004,112337.694
Aug 2004,126423.34
Jul 2004,129305.347
Jun 2004,112335.133
May 2004,90598.212
Apr 2004,85376.865
Mar 2004,98947.207
Feb 2004,112464.055
Jan 2004,127121.383
Dec 2003,113083.851
Nov 2003,86658.681
Oct 2003,89780.86
Sep 2003,113848.983
Aug 2003,134467.799
Jul 2003,130673.857
Jun 2003,101285.792
May 2003,87804.372
Apr 2003,83448.244
Mar 2003,99561.312
Feb 2003,110937.37
Jan 2003,124272.788
Dec 2002,109266.379
Nov 2002,88822.303
Oct 2002,94531.343
Sep 2002,115833.033
Aug 2002,134332.468
Jul 2002,133694.801
Jun 2002,107169.995
May 2002,87318.539
Apr 2002,85407.607
Mar 2002,95318.667
Feb 2002,96592.933
Jan 2002,116891.801
Dec 2001,96166.742
Nov 2001,80798.47
Oct 2001,85424.56
Sep 2001,105956.424
Aug 2001,129189.801
Jul 2001,120695.088
Jun 2001,99409.924
May 2001,81755.576
Apr 2001,82438.262
Mar 2001,92816.131
Feb 2001,99875.586
Jan 2001,127080.028
Dec 2000,113153.364
Nov 2000,84516.247
Oct 2000,86831.636
Sep 2000,108546.418
Aug 2000,123769.355
Jul 2000,119475.312
Jun 2000,103976.431
May 2000,83366.309
Apr 2000,76228.447
Mar 2000,84645.024
Feb 2000,98445.856
Jan 2000,109492.092
Dec 1999,95163.428
Nov 1999,78288.256
Oct 1999,82605.199
Sep 1999,104054.558
Aug 1999,123959.802
Jul 1999,123125.527
Jun 1999,95915.315
May 1999,77151.744
Apr 1999,77284.992
Mar 1999,89449.806
Feb 1999,86705.02
Jan 1999,111219.421
Dec 1998,92647.504
Nov 1998,77017.878
Oct 1998,86822.931
Sep 1998,106640.88
Aug 1998,120267.59
Jul 1998,121472.246
Jun 1998,98444.505
May 1998,77518.212
Apr 1998,74195.027
Mar 1998,85985.926
Feb 1998,86555.7
Jan 1998,102540.723
Dec 1997,95748.044
Nov 1997,79993.506
Oct 1997,84121.858
Sep 1997,94801.485
Aug 1997,106969.521
Jul 1997,109331.113
Jun 1997,83584.675
May 1997,70778.291
Apr 1997,72742.693
Mar 1997,81421.382
Feb 1997,90250.608
Jan 1997,106136.914
Dec 1996,93730.877
Nov 1996,78254.989
Oct 1996,75379.288
Sep 1996,91585.437
Aug 1996,105557.334
Jul 1996,106125.474
Jun 1996,90946.827
May 1996,74538.767
Apr 1996,74614.669
Mar 1996,87040.092
Feb 1996,96117.55
Jan 1996,108620.445
Dec 1995,92414.172
Nov 1995,76926.505
Oct 1995,74704.409
Sep 1995,93900.123
Aug 1995,114903.396
Jul 1995,104020.579
Jun 1995,84217.843
May 1995,70081.839
Apr 1995,68573.738
Mar 1995,79475.195
Feb 1995,86710.928
Jan 1995,96572.744
Dec 1994,85865.362
Nov 1994,71089.911
Oct 1994,71701.826
Sep 1994,85348.792
Aug 1994,96743.002
Jul 1994,103601.799
Jun 1994,84091.084
May 1994,67169.804
Apr 1994,69502.06
Mar 1994,79920.658
Feb 1994,89669.866
Jan 1994,103777.518
Dec 1993,87690.859
Nov 1993,72716.586
Oct 1993,71760.12
Sep 1993,88920.152
Aug 1993,102222.442
Jul 1993,101066.688
Jun 1993,76585.892
May 1993,63877.453
Apr 1993,69696.717
Mar 1993,83056.617
Feb 1993,83409.791
Jan 1993,93777.501
Dec 1992,87555.331
Nov 1992,70111.591
Oct 1992,69979.894
Sep 1992,79560.942
Aug 1992,88430.247
Jul 1992,88689.549
Jun 1992,70888.945
May 1992,64793.261
Apr 1992,68460.966
Mar 1992,73783.954
Feb 1992,82188.781
Jan 1992,91495.327
Dec 1991,81955.555
Nov 1991,70937.291
Oct 1991,69249.488
Sep 1991,84485.353
Aug 1991,92895.007
Jul 1991,94501.796
Jun 1991,80914.275
May 1991,67282.631
Apr 1991,65914.966
Mar 1991,73893.841
Feb 1991,79477.861
Jan 1991,93909.286
Dec 1990,78504.295
Nov 1990,66464.972
Oct 1990,69602.164
Sep 1990,86164.083
Aug 1990,88500.321
Jul 1990,90839.783
Jun 1990,73864.277
May 1990,62904.323
Apr 1990,65227.836
Mar 1990,71945.24
Feb 1990,74548.196
Jan 1990,95453.209
Dec 1989,85751.096
Nov 1989,64955.322
Oct 1989,65247.757
Sep 1989,78859.566
Aug 1989,86290.421
Jul 1989,85741.93
Jun 1989,71797.894
May 1989,61212.289
Apr 1989,64808.536
Mar 1989,77347.331
Feb 1989,78291.68
Jan 1989,85220.812
Dec 1988,77175.158
Nov 1988,63681.597
Oct 1988,63813.792
Sep 1988,77594.951
Aug 1988,94285.101
Jul 1988,87079.542
Jun 1988,68831.723
May 1988,57617.125
Apr 1988,61440.528
Mar 1988,71465.576
Feb 1988,80299.017
Jan 1988,89582.031
Dec 1987,73167.826
Nov 1987,60064.035
Oct 1987,60905.099
Sep 1987,73508.099
Aug 1987,88242.625
Jul 1987,83829.447
Jun 1987,68923.482
May 1987,58553.696
Apr 1987,60070.335
Mar 1987,67432.999
Feb 1987,73503.446
Jan 1987,82209.162
Dec 1986,73072.241
Nov 1986,58691.567
Oct 1986,62984.778
