Electricity Net Generation Total (including from sources not shown) All Sectors Monthly
https://www.eia.gov/opendata/v1/qb.php?category=711280&sdid=TOTAL.ELETPUS.M
13:20:03 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.ELETPUS.M Million Kilowatthours
Jan 2016,352719.066
Dec 2015,324427.224
Nov 2015,300653.268
Oct 2015,312111.68
Sep 2015,350121.648
Aug 2015,392116.203
Jul 2015,400418.853
Jun 2015,362409.202
May 2015,322086.912
Apr 2015,294133.343
Mar 2015,324191.894
Feb 2015,334475.546
Jan 2015,360455.167
Dec 2014,337956.656
Nov 2014,317495.009
Oct 2014,314521.999
Sep 2014,339886.506
Aug 2014,384341.148
Jul 2014,385779.552
Jun 2014,357844.043
May 2014,324724.3
Apr 2014,297630.588
Mar 2014,331823.059
Feb 2014,324348.436
Jan 2014,377254.711
Dec 2013,353021.248
Nov 2013,314539.642
Oct 2013,314925.463
Sep 2013,340940.902
Aug 2013,385285.745
Jul 2013,394845.621
Jun 2013,356822.647
May 2013,322155.64
Apr 2013,299332.868
Mar 2013,325398.834
Feb 2013,309728.08
Jan 2013,348967.378
Dec 2012,334635.089
Nov 2012,305975.035
Oct 2012,311650.774
Sep 2012,334584.877
Aug 2012,395699.566
Jul 2012,414639.671
Jun 2012,360826.151
May 2012,336517.631
Apr 2012,295228.216
Mar 2012,309090.569
Feb 2012,309389.42
Jan 2012,339528.259
Dec 2011,335740.463
Nov 2011,304102.155
Oct 2011,308698.504
Sep 2011,337931.318
Aug 2011,406511.315
Jul 2011,418692.755
Jun 2011,367727.015
May 2011,323628.238
Apr 2011,302400.724
Mar 2011,318709.941
Feb 2011,313126.607
Jan 2011,362871.893
Dec 2010,362119.081
Nov 2010,306009.629
Oct 2010,307920.691
Sep 2010,346045.172
Aug 2010,408884.155
Jul 2010,409725.44
Jun 2010,375759.478
May 2010,327936.492
Apr 2010,287800.227
Mar 2010,312167.64
Feb 2010,319734.727
